#Channel_number,Time,Counts
144,2.413559322033898,28.0
145,2.4303201506591336,19.0
146,2.447080979284369,17.0
147,2.4638418079096045,24.0
148,2.4806026365348397,16.0
149,2.4973634651600753,21.0
150,2.5141242937853105,22.0
151,2.5308851224105458,24.0
152,2.5476459510357814,20.0
153,2.5644067796610166,16.0
154,2.5811676082862522,24.0
155,2.5979284369114874,15.0
156,2.614689265536723,18.0
157,2.6314500941619583,15.0
158,2.648210922787194,13.0
159,2.664971751412429,19.0
160,2.6817325800376643,29.0
161,2.6984934086629,22.0
162,2.715254237288135,20.0
163,2.732015065913371,17.0
164,2.748775894538606,17.0
165,2.7655367231638417,17.0
166,2.782297551789077,18.0
167,2.7990583804143125,16.0
168,2.8158192090395477,18.0
169,2.8325800376647834,16.0
170,2.8493408662900186,18.0
171,2.866101694915254,15.0
172,2.8828625235404894,16.0
173,2.8996233521657246,15.0
174,2.9163841807909603,17.0
175,2.9331450094161955,22.0
176,2.949905838041431,22.0
177,2.9666666666666663,27.0
178,2.983427495291902,18.0
179,3.000188323917137,13.0
180,3.016949152542373,16.0
181,3.033709981167608,29.0
182,3.0504708097928432,18.0
183,3.067231638418079,21.0
184,3.083992467043314,22.0
185,3.1007532956685497,13.0
186,3.117514124293785,19.0
187,3.1342749529190206,16.0
188,3.151035781544256,14.0
189,3.1677966101694914,11.0
190,3.1845574387947266,19.0
191,3.2013182674199623,17.0
192,3.2180790960451975,20.0
193,3.2348399246704327,20.0
194,3.2516007532956683,21.0
195,3.2683615819209035,14.0
196,3.285122410546139,11.0
197,3.3018832391713744,14.0
198,3.31864406779661,12.0
199,3.3354048964218452,15.0
200,3.352165725047081,15.0
201,3.368926553672316,10.0
202,3.3856873822975517,21.0
203,3.402448210922787,13.0
204,3.419209039548022,17.0
205,3.435969868173258,20.0
206,3.452730696798493,25.0
207,3.4694915254237286,11.0
208,3.486252354048964,17.0
209,3.5030131826741995,11.0
210,3.5197740112994347,10.0
211,3.5365348399246703,10.0
212,3.5532956685499055,15.0
213,3.570056497175141,15.0
214,3.5868173258003764,17.0
215,3.6035781544256116,11.0
216,3.6203389830508472,12.0
217,3.6370998116760824,12.0
218,3.653860640301318,16.0
219,3.6706214689265533,20.0
220,3.687382297551789,18.0
221,3.704143126177024,14.0
222,3.7209039548022598,16.0
223,3.737664783427495,15.0
224,3.7544256120527306,10.0
225,3.771186440677966,12.0
226,3.787947269303201,17.0
227,3.8047080979284367,19.0
228,3.821468926553672,18.0
229,3.8382297551789075,12.0
230,3.8549905838041427,21.0
231,3.8717514124293784,10.0
232,3.8885122410546136,10.0
233,3.905273069679849,19.0
234,3.9220338983050844,19.0
235,3.9387947269303196,17.0
236,3.9555555555555553,15.0
237,3.9723163841807905,19.0
238,3.989077212806026,13.0
239,4.005838041431262,12.0
240,4.0225988700564965,13.0
241,4.039359698681732,15.0
242,4.056120527306968,10.0
243,4.0728813559322035,18.0
244,4.089642184557438,16.0
245,4.106403013182674,7.0
246,4.1231638418079095,20.0
247,4.139924670433144,15.0
248,4.15668549905838,6.0
249,4.173446327683616,15.0
250,4.190207156308851,12.0
251,4.206967984934086,21.0
252,4.223728813559322,6.0
253,4.240489642184557,4.0
254,4.257250470809793,20.0
255,4.274011299435028,6.0
256,4.290772128060263,11.0
257,4.307532956685499,8.0
258,4.324293785310734,12.0
259,4.341054613935969,12.0
260,4.357815442561205,9.0
261,4.374576271186441,12.0
262,4.391337099811675,15.0
263,4.408097928436911,9.0
